"UrbanRuralDesi","Tot_ED_NmbVsts","EDDXCount","LATITUDE","LONGITUDE","MentalHealthShortageArea"
"Urban",13579,584,37.76266,-122.253991,"No"
"Urban",29760,2828,37.85645,-122.25743,"No"
"Urban",35062,1215,37.83722,-122.26747,"No"
"Urban",66095,4690,37.79925,-122.23138,"No"
"Urban",29336,2328,37.82106,-122.26257,"No"
"Urban",43964,3415,37.55847,-121.98006,"No"
"Urban",28620,1218,37.69206,-121.88095,"No"
"Urban",38960,4504,37.55055,-121.97483,"No"
"Urban",31062,1303,37.6983769,-122.0874055,"No"
"Urban",120088,11666,37.82402,-122.25791,"No"
"Urban",69343,6673,37.70611,-122.16917,"No"
"Rural",24996,1100,38.34743,-120.77272,"No"
"Rural",10325,866,39.36701,-121.68955,"Yes"
"Rural",9329,1827,39.50485,-121.5428,"Yes"
"Urban",56376,4115,39.74226,-121.84918,"Yes"
"Rural",10190,1237,38.19057,-120.67095,"Yes"
"Urban",41182,1360,37.98222,-121.8054,"No"
"Urban",47848,3188,37.91304,-122.040781,"No"
"Urban",65573,6704,37.8923,-122.05828,"No"
"Urban",52369,4207,37.98615,-122.03874,"No"
"Urban",18054,534,37.77549,-121.95884,"No"
"Urban",66644,5250,37.951975,-121.776854,"No"
"Rural",17483,2146,38.91228,-119.99758,"Yes"
"Rural",56532,3496,36.83745,-119.66072,"Yes"
"Rural",8870,175,36.15152,-120.34035,"Yes"
"Urban",84815,7075,36.74252,-119.784071,"No"
"Rural",38319,1057,36.60789,-119.45145,"Yes"
"Urban",58162,4224,36.8370782,-119.7649963,"Yes"
"Urban",49785,5711,36.84246,-119.7832,"Yes"
"Frontier",6404,292,39.52055,-122.20791,"Yes"
"Rural",10531,1314,40.58267,-124.13549,"Yes"
"Rural",27953,3219,40.7832,-124.14216,"Yes"
"Rural",42926,835,32.96003,-115.55183,"Yes"
"Rural",8301,477,37.36207,-118.40756,"No"
"Frontier",1668,60,36.6084,-118.05816,"No"
"Urban",28475,1449,35.76143,-119.23706,"Yes"
"Frontier",6607,226,35.63486,-118.40509,"Yes"
"Urban",62403,2198,35.37323,-119.02715,"Yes"
"Rural",16279,504,35.6404,-117.66996,"Yes"
"Rural",21135,1618,35.14302,-118.44924,"Yes"
"Urban",92128,3302,36.3256247,-119.6683912,"Yes"
"Rural",19592,1598,38.93619,-122.6202,"Yes"
"Rural",19410,633,39.10232,-122.91003,"Yes"
"Rural",10145,534,40.42306,-120.64609,"Yes"
"Urban",16020,957,34.08988,-118.1449,"No"
"Urban",107707,9573,34.6878,-118.157981,"Yes"
"Urban",37582,1515,33.7802376,-118.1866412,"No"
"Urban",12830,2069,34.0231953,-118.3969429,"No"
"Urban",57917,3057,34.03721,-118.26551,"No"
"Urban",35849,3564,33.94917,-118.34788,"No"
"Urban",68844,638,34.0978692,-118.2909547,"No"
"Urban",31164,1308,33.98929,-118.22466,"Yes"
"Urban",3857,955,34.01897,-118.1875,"Yes"
"Urban",21304,1287,34.1024,-118.10503,"No"
"Urban",34069,1448,33.859731,-118.1492012,"No"
"Urban",48690,2411,33.93515,-118.13196,"No"
"Urban",10400,914,34.02383,-118.18377,"Yes"
"Urban",6940,958,34.15686,-118.48662,"No"
"Urban",15968,809,34.06826,-118.12302,"No"
"Urban",37767,2973,34.14951,-118.23109,"No"
"Urban",20914,1476,34.04827,-118.04257,"No"
"Urban",82929,3401,34.2791,-118.45951,"No"
"Urban",71601,4557,33.8119157,-118.3434945,"No"
"Urban",55882,4562,34.09875,-118.295371,"No"
"Urban",59992,3176,33.78926,-118.29373,"No"
"Urban",62888,4656,34.2198,-118.43103,"No"
"Urban",80860,5213,34.03793,-118.37568,"No"
"Urban",40497,2938,33.83891,-118.356771,"No"
"Urban",32685,2892,33.98125,-118.43971,"No"
"Urban",40962,2330,34.17067,-118.532001,"No"
"Urban",29497,2944,33.89246,-118.29493,"No"
"Urban",72326,2637,33.80801,-118.1852,"No"
"Urban",35962,2232,34.13603,-118.03879,"No"
"Urban",16386,949,34.05308,-118.13665,"No"
"Urban",54587,2833,34.07681,-118.38061,"No"
"Urban",47234,2750,34.22075,-118.53186,"No"
"Urban",5026,824,33.91108,-118.0644,"No"
"Urban",6654,2710,33.80759,-118.19355,"No"
"Urban",78066,3826,34.07709,-117.750621,"No"
"Urban",58298,3352,33.9697943,-118.049255,"No"
"Urban",12256,594,34.099076,-117.834328,"No"
"Urban",33407,2979,33.737939,-118.303893,"No"
"Urban",33209,2146,34.027539,-118.486123,"No"
"Urban",6908,912,34.24088,-118.39555,"No"
"Urban",18208,3209,34.15995,-118.4488,"No"
"Urban",48363,2955,33.93085,-118.20415,"Yes"
"Urban",24761,2245,34.029804,-118.478668,"No"
"Urban",50489,3261,34.15486,-118.32655,"No"
"Urban",9366,1033,33.91255,-118.09915,"No"
"Urban",44727,1017,34.19396,-118.4632,"No"
"Urban",22041,2077,34.20557,-118.2152,"No"
"Urban",46662,1791,34.20337,-118.62939,"No"
"Urban",52148,3047,34.05085,-118.21691,"No"
"Urban",22499,1438,33.95379,-118.00303,"No"
"Urban",54067,2197,34.39545,-118.55476,"No"
"Urban",77616,8132,33.83155,-118.29353,"No"
"Urban",104935,11710,34.05982,-118.21031,"No"
"Urban",99493,12266,33.92453,-118.2435,"Yes"
"Urban",47977,6816,34.32418,-118.45255,"No"
"Urban",40713,3219,34.17198,-118.58829,"No"
"Urban",70040,4294,34.06348,-117.986,"No"
"Urban",91278,6894,33.9171234,-118.1290216,"No"
"Urban",62297,4109,34.5843754,-118.1443461,"Yes"
"Rural",77730,917,36.88439,-119.80042,"Yes"
"Urban",28282,4136,38.0041,-122.55376,"No"
"Urban",29682,2456,37.94651,-122.53715,"No"
"Urban",14709,516,38.09827,-122.55974,"No"
"Rural",6498,300,37.50045,-119.97698,"Yes"
"Rural",8963,788,39.4326,-123.80068,"Yes"
"Rural",29738,2762,39.15216,-123.202741,"Yes"
"Rural",14061,855,39.39927,-123.35486,"Yes"
"Rural",26483,798,37.06273,-120.86147,"Yes"
"Urban",57645,3893,37.3402309,-120.4651815,"Yes"
"Frontier",511,35,41.53221,-120.17187,"Yes"
"Urban",42759,6164,36.59827,-121.92488,"No"
"Rural",15447,1193,36.2071,-121.1325,"Yes"
"Urban",54157,4946,36.65909,-121.646291,"Yes"
"Urban",49779,4799,36.69686,-121.6297,"Yes"
"Urban",24941,2018,38.32363,-122.296,"No"
"Rural",6503,425,38.53937349,-122.47300302,"No"
"Rural",13700,568,39.324536,-120.201516,"Yes"
"Urban",100831,2700,33.7807511,-117.8654488,"No"
"Urban",29010,1525,33.70162,-117.95524,"No"
"Urban",23505,2703,33.84725,-117.93248,"Yes"
"Urban",5063,360,33.78785,-117.82586,"No"
"Urban",12153,1316,33.8209,-117.90921,"Yes"
"Urban",102917,15062,33.62526,-117.92949,"No"
"Urban",12317,2853,33.70442,-117.98895,"No"
"Urban",12636,1666,33.84755,-118.0373,"No"
"Urban",26727,1200,33.80327,-118.0674,"No"
"Urban",11411,708,33.71112,-117.88539,"No"
"Urban",35655,2614,33.56279,-117.66768,"No"
"Urban",42673,4755,33.7879885,-117.8901339,"No"
"Urban",19807,2786,33.7745089,-117.9130315,"No"
"Urban",27453,1376,33.60802,-117.70825,"No"
"Urban",14981,2428,33.4997391,-117.7422502,"No"
"Urban",54818,3716,33.89349,-117.92851,"No"
"Urban",4326,513,33.73119,-117.82903,"No"
"Urban",25258,4361,33.82482,-117.99492,"No"
"Urban",18818,1048,33.75361,-117.83398,"No"
"Urban",112366,6285,33.85442,-117.84399,"No"
"Urban",26503,1184,38.94432,-121.09943,"Yes"
"Urban",74403,3759,38.76515,-121.24922,"No"
"Urban",125419,11079,38.74636,-121.25107,"No"
"Frontier",3461,158,39.80517,-120.462591,"Yes"
"Frontier",2710,145,40.30547,-121.23396,"Yes"
"Urban",47050,3842,33.8733354,-117.5668015,"Yes"
"Urban",54944,2551,33.83932,-116.54549,"Yes"
"Urban",39022,4085,33.75113,-116.95958,"Yes"
"Urban",48677,2354,33.70677,-116.23391,"Yes"
"Rural",8076,939,33.61315,-114.5956,"Yes"
"Urban",49275,3201,33.92573,-117.43996,"Yes"
"Urban",38597,1556,33.9317494,-116.9459031,"Yes"
"Urban",15525,1617,33.72146,-117.15691,"No"
"Urban",54533,2817,33.9063,-117.47082,"Yes"
"Urban",50769,2083,33.89553,-117.18677,"Yes"
"Urban",94786,7244,33.55788,-117.18488,"Yes"
"Urban",35415,3203,33.4795943,-117.1048018,"No"
"Urban",47789,2289,33.6122263,-117.1624483,"Yes"
"Urban",100947,10125,38.60197,-121.39232,"No"
"Urban",65202,6949,38.55438,-121.45738,"No"
"Urban",85084,4622,38.57045,-121.47028,"No"
"Urban",109964,10571,38.47144,-121.42409,"No"
"Rural",21491,2547,36.835,-121.38609,"No"
"Rural",11640,384,34.24728,-116.88988,"Yes"
"Urban",34420,2507,34.02626,-117.687,"No"
"Urban",23393,1178,34.07774,-117.69603,"Yes"
"Urban",141171,6938,34.0725,-117.43549,"No"
"Urban",40403,4217,34.05164,-117.26146,"No"
"Rural",8625,328,34.26583,-117.16716,"Yes"
"Urban",77789,3855,34.10056,-117.63828,"Yes"
"Urban",54577,1808,34.13138,-117.32245,"Yes"
"Urban",65213,3478,34.54053,-117.26535,"Yes"
"Urban",29888,2687,34.5281768,-117.2925622,"Yes"
"Rural",23888,718,34.13323,-116.27654,"Yes"
"Urban",36593,1668,34.47093,-117.29778,"Yes"
"Urban",57942,5048,34.07163215,-117.35277613,"No"
"Rural",26608,1208,34.8935263,-117.0168841,"Yes"
"Urban",23959,1034,32.69427,-117.16808,"Yes"
"Urban",77303,6184,32.80016,-117.15531,"No"
"Urban",87491,8594,32.77963,-117.00924,"Yes"
"Urban",115700,7566,32.79287,-117.09447,"No"
"Urban",98291,14376,32.75128,-117.1609,"No"
"Urban",17746,4359,32.6863293,-117.0830382,"Yes"
"Urban",38053,4503,32.88506,-117.22279,"No"
"Urban",43017,2113,33.18394,-117.29027,"No"
"Urban",58676,10623,32.75387,-117.16498,"No"
"Urban",63959,3223,32.61909,-117.02488,"No"
"Urban",28128,3932,32.99563,-117.05784,"No"
"Urban",44558,5016,33.0363,-117.28495,"No"
"Urban",77978,10967,33.12158,-117.11961,"Yes"
"Urban",33199,3734,37.78274,-122.44289,"No"
"Urban",10651,704,37.7691,-122.43465,"No"
"Urban",42628,7425,37.75657,-122.40637,"No"
"Urban",20710,1669,37.78917,-122.41695,"No"
"Urban",11039,865,37.77408,-122.45441,"No"
"Urban",26741,1539,37.78584,-122.42175,"Yes"
"Urban",18481,1274,37.74804,-122.42094,"No"
"Urban",51227,3184,38.12146,-121.2859,"Yes"
"Urban",43446,2446,37.88594,-121.28918,"Yes"
"Urban",28908,1166,37.74366,-121.43482,"Yes"
"Urban",26643,811,37.80111,-121.19746,"Yes"
"Urban",107498,9815,37.79736,-121.24614,"Yes"
"Rural",27109,1420,35.11369,-120.59147,"Yes"
"Rural",21644,1480,35.27801,-120.64977,"Yes"
"Rural",20637,943,35.290986,-120.666309,"Yes"
"Urban",27954,1239,35.5543,-120.71967,"No"
"Urban",33808,834,37.53017,-122.29951,"No"
"Urban",40921,3679,37.65806,-122.43837,"No"
"Urban",13136,522,37.68172,-122.47283,"No"
"Rural",1620,42,37.52439,-122.50882,"No"
"Urban",40552,2839,37.5944692,-122.3832465,"No"
"Urban",16318,535,37.48129,-122.25377,"No"
"Urban",33387,2754,37.48967,-122.22463,"No"
"Urban",22965,1863,34.43336,-119.80929,"Yes"
"Rural",20131,2210,34.639252,-120.4396497,"Yes"
"Urban",49585,2300,34.95198,-120.41338,"Yes"
"Urban",37875,5020,34.42948,-119.72317,"No"
"Rural",9382,656,34.60243,-120.12721,"Yes"
"Urban",58812,3923,37.36779,-122.07801,"No"
"Urban",49478,1988,37.25116,-121.9449,"No"
"Urban",52606,6688,37.32714,-121.93727,"No"
"Urban",71442,1980,37.433,-122.175881,"No"
"Urban",71282,5773,37.23924,-121.80269,"No"
"Rural",35422,3471,37.03731,-121.57411,"No"
"Urban",72224,6291,37.334597,-121.995774,"No"
"Urban",28994,2580,36.92839,-121.79173,"No"
"Frontier",4154,438,41.02423,-121.42442,"Yes"
"Urban",24170,4413,40.58562,-122.387731,"Yes"
"Urban",43794,2456,40.57204,-122.39742,"Yes"
"Rural",10147,522,41.31894,-122.32309,"Yes"
"Rural",9916,1706,41.71949,-122.645801,"Yes"
"Urban",59579,5337,38.12839,-122.24761,"No"
"Urban",25013,972,38.13109,-122.23852,"No"
"Urban",60524,4975,38.26097,-122.05076,"No"
"Urban",52521,4491,38.3894968,-121.9373177,"No"
"Rural",8867,1083,38.62764,-122.86385,"No"
"Urban",17337,2196,38.25323,-122.63302,"No"
"Urban",34075,3971,38.4429,-122.70149,"Yes"
"Urban",8730,375,38.28841,-122.46524,"No"
"Urban",56133,6021,38.47087,-122.73119,"Yes"
"Urban",30152,1845,38.49636,-122.7514,"Yes"
"Urban",81497,4613,37.66439,-120.99631,"No"
"Urban",55573,1632,37.51052,-120.83966,"No"
"Urban",75794,2674,37.66868,-120.973381,"No"
"Rural",19858,634,37.75782,-120.86031,"No"
"Rural",28962,1337,40.1495,-122.21887,"Yes"
"Urban",64254,8481,36.32753,-119.29345,"Yes"
"Rural",33711,2520,36.06948,-119.02727,"Yes"
"Rural",30394,820,36.2210166,-119.3385341,"Yes"
"Rural",31058,1588,37.97568,-120.369,"Yes"
"Urban",44981,3371,34.27693,-119.25384,"No"
"Urban",42642,2369,34.20762,-118.882411,"No"
"Rural",8161,1186,34.44221,-119.26311,"No"
"Urban",23191,1781,34.24177,-119.018,"No"
"Urban",47691,3934,34.21687,-119.15819,"Yes"
"Urban",29488,1606,38.56289,-121.77164,"Yes"
"Rural",63625,5495,39.138805,-121.593602,"Yes"
